,ts_code,det_price,share_price,conv_price,over_rate
0,128013.SZ,90.65,4.54,10.0,0.9966960352422908
1,128012.SZ,85.35,3.39,7.74,0.9486991150442476
2,123004.SZ,93.29,5.97,12.39,0.9361190954773873
3,127003.SZ,90.69,2.78,5.25,0.7126708633093526
4,110031.SH,103.33,25.96,42.8,0.7035916795069336
5,113008.SH,100.8,6.17,10.37,0.6941588330632088
6,127004.SZ,93.002,4.56,7.84,0.5989817543859649
7,123003.SZ,97.005,22.78,36.5,0.55429433713784
8,128021.SZ,95.5,12.15,18.17,0.4281769547325102
9,128020.SZ,95.15,15.31,22.9,0.4232103200522535
10,123001.SZ,92.37,6.58,9.81,0.3771272036474165
11,128018.SZ,92.401,8.04,11.9,0.3676267412935322
12,128023.SZ,92.792,7.21,10.44,0.3436178640776697
13,113014.SH,103.2,6.76,8.8,0.343431952662722
14,110030.SH,107.49,6.17,7.24,0.2613089141004863
15,113013.SH,107.01,17.17,20.2,0.258941176470588
16,113010.SH,100.84,4.94,6.1,0.2451902834008094
17,110040.SH,104.61,14.6,17.3,0.2395568493150686
18,128033.SZ,95.361,10.32,13.28,0.2271260465116278
19,128024.SZ,112.479,17.25,18.45,0.2030362608695651
20,128010.SZ,108.556,8.39,9.28,0.2007147556615016
21,113009.SH,103.98,18.42,21.24,0.198987622149837
22,128030.SZ,96.498,6.64,8.25,0.1989585843373494
23,113502.SH,94.94,36.43,45.48,0.1852514960197636
24,128016.SZ,111.8,36.6,38.48,0.1754273224043715
25,128028.SZ,114.5,69.97,71.82,0.1752736887237386
26,113016.SH,97.47,19.18,23.0,0.1688269030239834
27,113011.SH,108.03,4.02,4.31,0.1582320895522388
28,128019.SZ,100.2,7.27,8.37,0.1536093535075653
29,110033.SH,113.56,8.73,8.81,0.1460064146620847
30,128035.SZ,116.662,53.5,52.5,0.1448140186915889
31,113019.SH,105.5,17.64,19.1,0.1423185941043084
32,113504.SH,113.81,36.59,36.59,0.1381
33,127005.SZ,101.01,6.77,7.6,0.1339379615952733
34,113018.SH,100.28,6.62,7.43,0.1254990936555891
35,110041.SH,102.04,2.68,2.95,0.1232014925373136
36,113012.SH,101.7,12.38,13.5,0.1090064620355411
37,128015.SZ,103.999,12.11,12.9,0.1078341040462429
38,128032.SZ,104.999,9.56,10.05,0.1038074790794978
39,128017.SZ,115.9,24.53,23.32,0.1018295964125561
40,110034.SH,112.74,19.05,18.52,0.0960340157480313
41,127006.SZ,104.37,20.22,21.12,0.0901554896142435
42,128025.SZ,101.012,18.29,19.7,0.0879914707490432
43,110032.SH,120.5,8.23,7.43,0.0878675577156743
44,128037.SZ,94.43,7.02,8.05,0.0828511396011398
45,113015.SH,120.23,35.94,32.35,0.0822038119087369
46,128026.SZ,96.5,10.4,11.64,0.0800576923076923
47,113017.SH,97.02,2.72,2.98,0.0629397058823527
48,123002.SZ,110.699,21.98,21.04,0.0596482984531392
49,113508.SH,104.9,23.55,23.74,0.0574632696390657
50,110042.SH,110.7,14.98,14.29,0.0560100133511348
51,128029.SZ,129.19,10.84,8.85,0.0547338560885607
52,113507.SH,108.42,11.43,11.04,0.0472062992125984
53,128014.SZ,106.63,20.88,20.46,0.0448514367816092
54,128038.SZ,95.315,2.52,2.76,0.0439261904761904
55,113505.SH,104.73,7.48,7.29,0.0206974598930481
56,123007.SZ,129.26,57.49,45.21,0.0164975821882065
57,113503.SH,113.89,20.17,17.99,0.0158061973227563
58,128034.SZ,97.852,6.67,6.92,0.0151961619190405
59,128027.SZ,121.671,18.33,15.2,0.0089466448445172
60,123006.SZ,127.0,14.39,11.39,0.0052328005559416
61,110043.SH,99.97,6.84,6.85,0.0011615497076023
62,110039.SH,142.03,25.88,18.19,-0.0017288639876351
63,110038.SH,130.07,54.0,41.04,-0.0114679999999999
64,123009.SZ,126.888,36.2,27.99,-0.0188963756906077
65,113506.SH,109.9,24.58,21.86,-0.022614320585842
66,123008.SZ,186.999,91.8,46.89,-0.0448384411764704
67,123005.SZ,164.95,23.88,13.11,-0.0944327889447236
